time,station,temp_c,temp_f,wind_speed_km,wind_speed_mph
2025-11-04 10:36:41 EST,KHGR,13,55.4,18.504,11.565
2025-11-04 10:45:32 EST,KHGR,13,55.4,18.504,11.565
2025-11-04 11:22:38 EST,KHGR,13,55.4,20.376,12.735
2025-11-04 11:49:19 EST,KHGR,14,57.2,18.504,11.565
2025-11-04 12:40:52 EST,KHGR,15,59,16.668,10.417499999999999
2025-11-04 13:28:15 EST,KHGR,16,60.8,18.504,11.565
2025-11-04 14:14:57 EST,KHGR,17,62.6,25.92,16.2
2025-11-04 14:38:54 EST,KHGR,17,62.6,20.376,12.735
2025-11-04 15:21:12 EST,KHGR,17,62.6,20.376,12.735
2025-11-04 15:43:27 EST,KHGR,17,62.6,24.084,15.052499999999998
2025-11-04 16:17:03 EST,KHGR,16,60.8,14.832,9.27
2025-11-04 16:38:55 EST,KHGR,16,60.8,20.376,12.735
2025-11-04 17:19:11 EST,KHGR,14,57.2,12.96,8.1
2025-11-04 17:43:49 EST,KHGR,13,55.4,11.124,6.9525
2025-11-04 18:18:54 EST,KHGR,12,53.6,14.832,9.27
2025-11-04 18:39:18 EST,KHGR,12,53.6,12.96,8.1
2025-11-04 20:21:43 EST,KHGR,11,51.8,9.252,5.7825
2025-11-04 21:56:07 EST,KHGR,10,50,7.416,4.635
2025-11-04 22:44:11 EST,KHGR,11,51.8,5.544,3.4649999999999994
2025-11-04 23:22:04 EST,KHGR,8,46.4,5.544,3.4649999999999994
2025-11-04 23:46:11 EST,KHGR,8,46.4,0,0
2025-11-05 00:21:00 EST,KHGR,8,46.4,9.252,5.7825
2025-11-05 00:42:43 EST,KHGR,7,44.6,9.252,5.7825
2025-11-05 01:27:48 EST,KHGR,8,46.4,9.252,5.7825
2025-11-05 01:54:12 EST,KHGR,7,44.6,11.124,6.9525
2025-11-05 02:19:56 EST,KHGR,7,44.6,9.252,5.7825
2025-11-05 02:42:14 EST,KHGR,7,44.6,7.416,4.635
2025-11-05 03:25:23 EST,KHGR,6,42.8,9.252,5.7825
2025-11-05 03:50:25 EST,KHGR,7,44.6,7.416,4.635
2025-11-05 04:20:45 EST,KHGR,6,42.8,9.252,5.7825
2025-11-05 04:46:13 EST,KHGR,6,42.8,7.416,4.635
2025-11-05 05:21:16 EST,KHGR,5,41,9.252,5.7825
2025-11-05 05:46:30 EST,KHGR,6,42.8,11.124,6.9525
2025-11-05 06:17:42 EST,KHGR,7,44.6,12.96,8.1
2025-11-05 06:40:38 EST,KHGR,7,44.6,11.124,6.9525
2025-11-05 07:39:19 EST,KHGR,8,46.4,11.124,6.9525
2025-11-05 08:31:56 EST,KHGR,8,46.4,0,0
2025-11-05 09:18:51 EST,KHGR,11,51.8,11.124,6.9525
2025-11-05 09:46:00 EST,KHGR,13,55.4,18.504,11.565
2025-11-05 10:19:37 EST,KHGR,14,57.2,18.504,11.565
2025-11-05 10:43:03 EST,KHGR,16,60.8,20.376,12.735
2025-11-05 11:24:34 EST,KHGR,15,59,12.96,8.1
2025-11-05 11:53:04 EST,KHGR,17,62.6,18.504,11.565
2025-11-05 12:17:44 EST,KHGR,18,64.4,18.504,11.565
2025-11-05 12:41:00 EST,KHGR,18,64.4,22.212,13.882499999999999
2025-11-05 13:26:33 EST,KHGR,19,66.2,20.376,12.735
2025-11-05 13:51:40 EST,KHGR,20,68,14.832,9.27
2025-11-05 14:15:55 EST,KHGR,21,69.8,24.084,15.052499999999998
2025-11-05 14:38:13 EST,KHGR,22,71.6,16.668,10.417499999999999
2025-11-05 15:21:03 EST,KHGR,23,73.4,18.504,11.565
2025-11-05 15:43:57 EST,KHGR,23,73.4,14.832,9.27
2025-11-05 16:18:17 EST,KHGR,23,73.4,22.212,13.882499999999999
2025-11-05 16:40:17 EST,KHGR,23,73.4,18.504,11.565
2025-11-05 17:18:05 EST,KHGR,22,71.6,14.832,9.27
2025-11-05 17:42:10 EST,KHGR,22,71.6,20.376,12.735
2025-11-05 18:40:16 EST,KHGR,22,71.6,16.668,10.417499999999999
2025-11-06 00:19:10 EST,KHGR,12,53.6,40.752,25.47
